CVE_ID,Description,Cause1,Cause2,Location,Version,Attacker,Operation,Consequence
CVE-2018-1000846,FreshDNS version 1.0.3 and earlier contains a Cross ite Request Forgery (CSRF) vulnerability in All (authenticated) API calls in index.php / class.manager.php that can result in Editing domains and zones with victim's privileges. This attack appear to be exploitable via Victim must open a website containing attacker's javascript. This vulnerability appears to have been fixed in 1.0.5 and later.,a Cross ite Request Forgery (CSRF) vulnerability,,All (authenticated) API calls in index.php / class.manager.php,FreshDNS version 1.0.3 and earlier,,Victim must open a website containing attacker's javascript,Editing domains and zones with victim's privileges
CVE-2013-7294,The ikev2parent_inI1outR1 function in pluto/ikev2_parent.c in libreswan before 3.7 allows remote attackers to cause a denial of service (restart) via an IKEv2 I1 notification without a KE payload.,,,The ikev2parent_inI1outR1 function in pluto/ikev2_parent.c in libreswan before 3.7,,remote attackers,an IKEv2 I1 notification without a KE,a denial of service (restart)
CVE-2018-20748,LibVNC before 0.9.12 contains multiple heap out-of-bounds write vulnerabilities in libvncclient/rfbproto.c. The fix for CVE-2018-20019 was incomplete.,multiple heap out-of-bounds write vulnerabilities,,libvncclient/rfbproto.c,LibVNC before 0.9.12,,,
CVE-2017-15833,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, untrusted pointer dereference in update_userspace_power() function in power leads to information exposure.",untrusted pointer dereference,,update_userspace_power() function in power,"Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel",,,information exposure
CVE-2015-5479,The ff_h263_decode_mba function in libavcodec/ituh263dec.c in Libav before 11.5 allows remote attackers to cause a denial of service (divide-by-zero error and application crash) via a file with crafted dimensions.,,,The ff_h263_decode_mba function in libavcodec/ituh263dec.c in Libav before 11.5,,remote attackers,a file with crafted dimensions,a denial of service (divide-by-zero error and application crash)
CVE-2019-19531,"In the Linux kernel before 5.2.9, there is a use-after-free bug that can be caused by a malicious USB device in the drivers/usb/misc/yurex.c driver, aka CID-fc05481b2fca.",,,the drivers/usb/misc/yurex.c driver,the Linux kernel before 5.2.9,,a malicious USB device,a use-after-free bug
CVE-2014-4349,Multiple cross-site scripting (XSS) vulnerabilities in phpMyAdmin 4.1.x before 4.1.14.1 and 4.2.x before 4.2.4 allow remote authenticated users to inject arbitrary web script or HTML via a crafted table name that is improperly handled after a (1) hide or (2) unhide action.,Multiple cross-site scripting (XSS) vulnerabilities,,,phpMyAdmin 4.1.x before 4.1.14.1 and 4.2.x before 4.2.4,remote authenticated users,a crafted table name that is improperly handled after a (1) hide or (2) unhide action,inject arbitrary web script or HTML
CVE-2020-11010,"In Tortoise ORM before versions 0.15.23 and 0.16.6, various forms of SQL injection have been found for MySQL and when filtering or doing mass-updates on char/text fields. SQLite & PostgreSQL are only affected when filtering with contains, starts_with, or ends_with filters (and their case-insensitive counterparts).",various forms of SQL injection,,,Tortoise ORM before versions 0.15.23 and 0.16.6,,,
CVE-2017-13009,The IPv6 mobility parser in tcpdump before 4.9.2 has a buffer over-read in print-mobility.c:mobility_print().,a buffer over-read,,The IPv6 mobility parser,tcpdump before 4.9.2,,,
CVE-2016-4580,"The x25_negotiate_facilities function in net/x25/x25_facilities.c in the Linux kernel before 4.5.5 does not properly initialize a certain data structure, which allows attackers to obtain sensitive information from kernel stack memory via an X.25 Call Request.",does not properly initialize a certain data structure,,The x25_negotiate_facilities function in net/x25/x25_facilities.c,the Linux kernel before 4.5.5,,an X.25 Call Request,obtain sensitive information from kernel stack memory
CVE-2011-2183,"Race condition in the scan_get_next_rmap_item function in mm/ksm.c in the Linux kernel before 2.6.39.3, when Kernel SamePage Merging (KSM) is enabled, allows local users to cause a denial of service (NULL pointer dereference) or possibly have unspecified other impact via a crafted application.",Race condition,,the scan_get_next_rmap_item function in mm/ksm.c,the Linux kernel before 2.6.39.3,local users,a crafted application,a denial of service (NULL pointer dereference) or possibly have unspecified other impact
CVE-2012-3799,Multiple cross-site request forgery (CSRF) vulnerabilities in the Maestro module 7.x-1.x before 7.x-1.2 for Drupal allow remote attackers to hijack the authentication of administrators for requests that (1) change workflows or (2) insert cross-site scripting (XSS) sequences.,Multiple cross-site request forgery (CSRF) vulnerabilities,,,the Maestro module 7.x-1.x before 7.x-1.2 for Drupal,remote attackers,,hijack the authentication of administrators for requests that (1) change workflows or (2) insert cross-site scripting (XSS) sequences
CVE-2020-15562,"An issue was discovered in Roundcube Webmail before 1.2.11, 1.3.x before 1.3.14, and 1.4.x before 1.4.7. It allows XSS via a crafted HTML e-mail message, as demonstrated by a JavaScript payload in the xmlns (aka XML namespace) attribute of a HEAD element when an SVG element exists.",,,,"Roundcube Webmail before 1.2.11, 1.3.x before 1.3.14, and 1.4.x before 1.4.7",,a crafted HTML e-mail message,XSS
CVE-2013-4413,Directory traversal vulnerability in controller/concerns/render_redirect.rb in the Wicked gem before 1.0.1 for Ruby allows remote attackers to read arbitrary files via a %2E%2E%2F (encoded dot dot slash) in the step.,Directory traversal vulnerability,,controller/concerns/render_redirect.rb,the Wicked gem before 1.0.1 for Ruby,remote attackers,a %2E%2E%2F (encoded dot dot slash) in the step,read arbitrary files
CVE-2020-16309,A buffer overflow vulnerability in lxm5700m_print_page() in devices/gdevlxm.c of Artifex Software GhostScript v9.50 allows a remote attacker to cause a denial of service via a crafted eps file. This is fixed in v9.51.,A buffer overflow vulnerability,,lxm5700m_print_page() in devices/gdevlxm.c,Artifex Software GhostScript v9.50,a remote attacker,a crafted eps file,a denial of service
CVE-2019-19252,"vcs_write in drivers/tty/vt/vc_screen.c in the Linux kernel through 5.3.13 does not prevent write access to vcsu devices, aka CID-0c9acb1af77a.",does not prevent write access to vcsu devices,,vcs_write in drivers/tty/vt/vc_screen.c,the Linux kernel through 5.3.13,,,
CVE-2012-2119,"Buffer overflow in the macvtap device driver in the Linux kernel before 3.4.5, when running in certain configurations, allows privileged KVM guest users to cause a denial of service (crash) via a long descriptor with a long vector length.",Buffer overflow,,the macvtap device driver,the Linux kernel before 3.4.5,privileged KVM guest users,a long descriptor with a long vector length,a denial of service (crash)
CVE-2012-6541,"The ccid3_hc_tx_getsockopt function in net/dccp/ccids/ccid3.c in the Linux kernel before 3.6 does not initialize a certain structure, which allows local users to obtain sensitive information from kernel stack memory via a crafted application.",does not initialize a certain structure,,The ccid3_hc_tx_getsockopt function in net/dccp/ccids/ccid3.c,the Linux kernel before 3.6,local users,a crafted application,obtain sensitive information from kernel stack memory
CVE-2019-12951,An issue was discovered in Mongoose before 6.15. The parse_mqtt() function in mg_mqtt.c has a critical heap-based buffer overflow.,a critical heap-based buffer overflow,,The parse_mqtt() function in mg_mqtt.c,Mongoose before 6.15,,,
CVE-2017-13046,The BGP parser in tcpdump before 4.9.2 has a buffer over-read in print-bgp.c:bgp_attr_print().,a buffer over-read,,The BGP parser,tcpdump before 4.9.2,,,
CVE-2018-3740,A specially crafted HTML fragment can cause Sanitize gem for Ruby to allow non-whitelisted attributes to be used on a whitelisted HTML element.,,,A specially crafted HTML fragment,Sanitize gem for Ruby,,,non-whitelisted attributes to be used on a whitelisted HTML element
CVE-2018-3719,"mixin-deep node module before 1.3.1 suffers from a Modification of Assumed-Immutable Data (MAID) vulnerability, which allows a malicious user to modify the prototype of ""Object"" via __proto__, causing the addition or modification of an existing property that will exist on all objects.",a Modification of Assumed-Immutable Data (MAID) vulnerability,,,mixin-deep node module before 1.3.1,,__proto__,the addition or modification of an existing property that will exist on all objects
CVE-2012-2137,"Buffer overflow in virt/kvm/irq_comm.c in the KVM subsystem in the Linux kernel before 3.2.24 allows local users to cause a denial of service (crash) and possibly execute arbitrary code via vectors related to Message Signaled Interrupts (MSI), irq routing entries, and an incorrect check by the setup_routing_entry function before invoking the kvm_set_irq function.",Buffer overflow,,virt/kvm/irq_comm.c in the KVM subsystem,the Linux kernel before 3.2.24,local users,"vectors related to Message Signaled Interrupts (MSI), irq routing entries, and an incorrect check by the setup_routing_entry function before invoking the kvm_set_irq function",a denial of service (crash) and possibly execute arbitrary code
CVE-2009-1961,"The inode double locking code in fs/ocfs2/file.c in the Linux kernel 2.6.30 before 2.6.30-rc3, 2.6.27 before 2.6.27.24, 2.6.29 before 2.6.29.4, and possibly other versions down to 2.6.19 allows local users to cause a denial of service (prevention of file creation and removal) via a series of splice system calls that trigger a deadlock between the generic_file_splice_write, splice_from_pipe, and ocfs2_file_splice_write functions.",,,The inode double locking code in fs/ocfs2/file.c,"the Linux kernel 2.6.30 before 2.6.30-rc3, 2.6.27 before 2.6.27.24, 2.6.29 before 2.6.29.4, and possibly other versions down to 2.6.19",local users,"a series of splice system calls that trigger a deadlock between the generic_file_splice_write, splice_from_pipe, and ocfs2_file_splice_write functions",a denial of service (prevention of file creation and removal)
CVE-2014-0978,Stack-based buffer overflow in the yyerror function in lib/cgraph/scan.l in Graphviz 2.34.0 allows remote attackers to have unspecified impact via a long line in a dot file.,Stack-based buffer overflow,,the yyerror function in lib/cgraph/scan.l,Graphviz 2.34.0,,a long line in a dot,remote attackers
CVE-2015-1039,Cross-site scripting (XSS) vulnerability in user/login.phtml in ZF-Commons ZfcUser before 1.2.2 allows remote attackers to inject arbitrary web script or HTML via the redirect parameter.,Cross-site scripting (XSS) vulnerability,,user/login.phtml,ZF-Commons ZfcUser before 1.2.2,remote attackers,the redirect parameter,inject arbitrary web script or HTML
CVE-2013-2022,"Multiple cross-site scripting (XSS) vulnerabilities in actionscript/Jplayer.as in the Flash SWF component (jplayer.swf) in jPlayer before 2.2.23 allow remote attackers to inject arbitrary web script or HTML via the (1) jQuery or (2) id parameters, a different vulnerability than CVE-2013-1942 and CVE-2013-2023, as demonstrated by using the alert function in the jQuery parameter. NOTE: these are the same parameters as CVE-2013-1942, but the fix for CVE-2013-1942 uses a blacklist for the jQuery parameter.",Multiple cross-site scripting (XSS) vulnerabilities,,actionscript/Jplayer.as in the Flash SWF component (jplayer.swf),jPlayer before 2.2.23,remote attackers,the (1) jQuery or (2) id parameters,inject arbitrary web script or HTML
CVE-2014-4344,The acc_ctx_cont function in the SPNEGO acceptor in lib/gssapi/spnego/spnego_mech.c in MIT Kerberos 5 (aka krb5) 1.5.x through 1.12.x before 1.12.2 allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via an empty continuation token at a certain point during a SPNEGO negotiation.,,,The acc_ctx_cont function in the SPNEGO acceptor in lib/gssapi/spnego/spnego_mech.c,MIT Kerberos 5 (aka krb5) 1.5.x through 1.12.x before 1.12.2,remote attackers,an empty continuation token at a certain point during a SPNEGO negotiation,a denial of service (NULL pointer dereference and application crash)
CVE-2012-1001,Multiple cross-site scripting (XSS) vulnerabilities in Chyrp before 2.1.2 and before 2.5 Beta 2 allow remote attackers to inject arbitrary web script or HTML via the (1) content parameter to includes/ajax.php or (2) body parameter to includes/error.php.,Multiple cross-site scripting (XSS) vulnerabilities,,,Chyrp before 2.1.2 and before 2.5 Beta 2,remote attackers,the (1) content parameter to includes/ajax.php or (2) body parameter to includes/error.php,inject arbitrary web script or HTML
CVE-2012-2129,Cross-site scripting (XSS) vulnerability in doku.php in DokuWiki 2012-01-25 Angua allows remote attackers to inject arbitrary web script or HTML via the target parameter in an edit action.,Cross-site scripting (XSS) vulnerability,,doku.php,DokuWiki 2012-01-25 Angua,remote attackers,the target parameter in an edit action,inject arbitrary web script or HTML
CVE-2013-4591,Buffer overflow in the __nfs4_get_acl_uncached function in fs/nfs/nfs4proc.c in the Linux kernel before 3.7.2 allows local users to cause a denial of service (memory corruption and system crash) or possibly have unspecified other impact via a getxattr system call for the system.nfs4_acl extended attribute of a pathname on an NFSv4 filesystem.,Buffer overflow,,the __nfs4_get_acl_uncached function in fs/nfs/nfs4proc.c,the Linux kernel before 3.7.2,local users,a getxattr system call for the system.nfs4_acl extended attribute of a pathname on an NFSv4 filesystem,a denial of service (memory corruption and system crash) or possibly have unspecified other impact
CVE-2007-6762,"In the Linux kernel before 2.6.20, there is an off-by-one bug in net/netlabel/netlabel_cipso_v4.c where it is possible to overflow the doi_def->tags[] array.",an off-by-one bug,,net/netlabel/netlabel_cipso_v4.c,the Linux kernel before 2.6.20,,,it is possible to overflow the doi_def->tags[] array
CVE-2017-7854,The consume_init_expr function in wasm.c in radare2 1.3.0 allows remote attackers to cause a denial of service (heap-based buffer over-read and application crash) via a crafted Web Assembly file.,,,The consume_init_expr function in wasm.c,radare2 1.3.0,remote attackers,a crafted Web Assembly file,a denial of service (heap-based buffer over-read and application crash)
CVE-2016-6902,lshell 0.9.16 allows remote authenticated users to break out of a limited shell and execute arbitrary commands.,,,,lshell 0.9.16,remote authenticated users,,break out of a limited shell and execute arbitrary commands
CVE-2015-2141,"The InvertibleRWFunction::CalculateInverse function in rw.cpp in libcrypt++ 5.6.2 does not properly blind private key operations for the Rabin-Williams digital signature algorithm, which allows remote attackers to obtain private keys via a timing attack.",does not properly blind private key operations for the Rabin-Williams digital signature algorithm,,The InvertibleRWFunction::CalculateInverse function in rw.cpp in libcrypt++ 5.6.2,,remote attackers,a timing attack,obtain private keys
CVE-2017-6059,"Mod_auth_openidc.c in the Ping Identity OpenID Connect authentication module for Apache (aka mod_auth_openidc) before 2.14 allows remote attackers to spoof page content via a malicious URL provided to the user, which triggers an invalid request.",,,Mod_auth_openidc.c in the Ping Identity OpenID Connect authentication module,Apache (aka mod_auth_openidc) before 2.14,remote attackers,a malicious URL provided to the user,spoof page content
CVE-2009-2140,"Multiple heap-based buffer overflows in cppcanvas/source/mtfrenderer/emfplus.cxx in Go-oo 2.x and 3.x before 3.0.1, previously named ooo-build and related to OpenOffice.org (OOo), allow remote attackers to execute arbitrary code via a crafted EMF+ file, a similar issue to CVE-2008-2238.",Multiple heap-based buffer overflows,,cppcanvas/source/mtfrenderer/emfplus.cxx,Go-oo 2.x and 3.x before 3.0.1,remote attackers,a crafted EMF+ file,execute arbitrary code
CVE-2018-20854,An issue was discovered in the Linux kernel before 4.20. drivers/phy/mscc/phy-ocelot-serdes.c has an off-by-one error with a resultant ctrl->phys out-of-bounds read.,an off-by-one error,,drivers/phy/mscc/phy-ocelot-serdes.c,the Linux kernel before 4.20,,,ctrl->phys out-of-bounds read
CVE-2017-9723,"The touchscreen driver synaptics_dsx in Android for MSM, Firefox OS for MSM, and QRD Android before 2017-06-05, the size of a stack-allocated buffer can be set to a value which exceeds the size of the stack.",the size of a stack-allocated buffer can be set to a value which exceeds the size of the stack,,The touchscreen driver synaptics_dsx,"Android for MSM, Firefox OS for MSM, and QRD Android before 2017-06-05",,,
CVE-2013-0861,The avcodec_decode_audio4 function in libavcodec/utils.c in FFmpeg before 1.0.4 and 1.1.x before 1.1.1 allows remote attackers to trigger memory corruption via vectors related to the channel layout.,,,The avcodec_decode_audio4 function in libavcodec/utils.c,FFmpeg before 1.0.4 and 1.1.x before 1.1.1,remote attackers,vectors related to the channel layout,memory corruption
CVE-2017-12902,"The Zephyr parser in tcpdump before 4.9.2 has a buffer over-read in print-zephyr.c, several functions.",a buffer over-read,,The Zephyr parser,tcpdump before 4.9.2,,,
CVE-2019-18667,/usr/local/www/freeradius_view_config.php in the freeradius3 package before 0.15.7_3 for pfSense on FreeBSD allows a user with an XSS payload as password or username to execute arbitrary javascript code on a victim browser.,,,/usr/local/www/freeradius_view_config.php in the freeradius3 package before 0.15.7_3 for pfSense,FreeBSD,a user with an XSS payload as password or username,,execute arbitrary javascript code on a victim browser
CVE-2015-8790,"The EbmlUnicodeString::UpdateFromUTF8 function in libEBML before 1.3.3 allows context-dependent attackers to obtain sensitive information from process heap memory via a crafted UTF-8 string, which triggers an invalid memory access.",,,The EbmlUnicodeString::UpdateFromUTF8 function in libEBML before 1.3.3,,context-dependent attackers,a crafted UTF-8 string,an invalid memory access
CVE-2017-15537,"The x86/fpu (Floating Point Unit) subsystem in the Linux kernel before 4.13.5, when a processor supports the xsave feature but not the xsaves feature, does not correctly handle attempts to set reserved bits in the xstate header via the ptrace() or rt_sigreturn() system call, allowing local users to read the FPU registers of other processes on the system, related to arch/x86/kernel/fpu/regset.c and arch/x86/kernel/fpu/signal.c.",does not correctly handle attempts to set reserved bits in the xstate header,,The x86/fpu (Floating Point Unit) subsystem,the Linux kernel before 4.13.5,local users,the ptrace() or rt_sigreturn() system call,read the FPU registers of other processes on the system
CVE-2014-8117,"softmagic.c in file before 5.21 does not properly limit recursion, which allows remote attackers to cause a denial of service (CPU consumption or crash) via unspecified vectors.",does not properly limit recursion,,softmagic.c in file before 5.21,,remote attackers,,a denial of service (CPU consumption or crash)
CVE-2019-12106,The updateDevice function in minissdpd.c in MiniUPnP MiniSSDPd 1.4 and 1.5 allows a remote attacker to crash the process due to a Use After Free vulnerability.,a Use After Free vulnerability,,The updateDevice function in minissdpd.c,MiniUPnP MiniSSDPd 1.4 and 1.5,a remote attacker,,crash the process
CVE-2015-7509,"fs/ext4/namei.c in the Linux kernel before 3.7 allows physically proximate attackers to cause a denial of service (system crash) via a crafted no-journal filesystem, a related issue to CVE-2013-2015.",,,fs/ext4/namei.c,the Linux kernel before 3.7,physically proximate attackers,a crafted no-journal filesystem,a denial of service (system crash)
CVE-2016-10027,"Race condition in the XMPP library in Smack before 4.1.9, when the SecurityMode.required TLS setting has been set, allows man-in-the-middle attackers to bypass TLS protections and trigger use of cleartext for client authentication by stripping the ""starttls"" feature from a server response.",Race condition,,the XMPP library,Smack before 4.1.9,man-in-the-middle attackers,"stripping the ""starttls"" feature from a server response",bypass TLS protections and trigger use of cleartext for client authentication
CVE-2015-1339,Memory leak in the cuse_channel_release function in fs/fuse/cuse.c in the Linux kernel before 4.4 allows local users to cause a denial of service (memory consumption) or possibly have unspecified other impact by opening /dev/cuse many times.,Memory leak,,the cuse_channel_release function in fs/fuse/cuse.c,the Linux kernel before 4.4,local users,opening /dev/cuse many times,a denial of service (memory consumption) or possibly have unspecified other impact
CVE-2017-13688,The OLSR parser in tcpdump before 4.9.2 has a buffer over-read in print-olsr.c:olsr_print().,a buffer over-read,,The OLSR parser,tcpdump before 4.9.2,,,
CVE-2014-9895,"drivers/media/media-device.c in the Linux kernel before 3.11, as used in Android before 2016-08-05 on Nexus 5 and 7 (2013) devices, does not properly initialize certain data structures, which allows local users to obtain sensitive information via a crafted application, aka Android internal bug 28750150 and Qualcomm internal bug CR570757, a different vulnerability than CVE-2014-1739.",does not properly initialize certain data structures,,drivers/media/media-device.c,"the Linux kernel before 3.11, as used in Android before 2016-08-05 on Nexus 5 and 7 (2013) devices",local users,a crafted application,obtain sensitive information
CVE-2012-3429,"The dns_to_ldap_dn_escape function in src/ldap_convert.c in bind-dyndb-ldap 1.1.0rc1 and earlier does not properly escape distinguished names (DN) for LDAP queries, which allows remote DNS servers to cause a denial of service (named service hang) via a ""$"" character in a DN in a DNS query.",does not properly escape distinguished names (DN) for LDAP queries,,The dns_to_ldap_dn_escape function in src/ldap_convert.c in bind-dyndb-ldap 1.1.0rc1 and earlier,,remote DNS servers,"a ""$"" character in a DN in a DNS query",a denial of service (named service hang)
CVE-2012-0853,"The decodeTonalComponents function in the Actrac3 codec (atrac3.c) in libavcodec in FFmpeg 0.7.x before 0.7.12, and 0.8.x before 0.8.11; and in Libav 0.5.x before 0.5.9, 0.6.x before 0.6.6, 0.7.x before 0.7.5, and 0.8.x before 0.8.1 allows remote attackers to cause a denial of service (infinite loop and crash) and possibly execute arbitrary code via a large component count in an Atrac 3 file.",,,The decodeTonalComponents function in the Actrac3 codec (atrac3.c) in libavcodec,"FFmpeg 0.7.x before 0.7.12, and 0.8.x before 0.8.11; and in Libav 0.5.x before 0.5.9, 0.6.x before 0.6.6, 0.7.x before 0.7.5, and 0.8.x before 0.8.1",remote attackers,a large component count in an Atrac 3 file,a denial of service (infinite loop and crash) and possibly execute arbitrary code
CVE-2019-11810,"An issue was discovered in the Linux kernel before 5.0.7. A NULL pointer dereference can occur when megasas_create_frame_pool() fails in megasas_alloc_cmds() in drivers/scsi/megaraid/megaraid_sas_base.c. This causes a Denial of Service, related to a use-after-free.",A NULL pointer dereference,,megasas_alloc_cmds() in drivers/scsi/megaraid/megaraid_sas_base.c,the Linux kernel before 5.0.7,,,Denial of Service
CVE-2019-16989,"In FusionPBX up to v4.5.7, the file app\conferences_active\conference_interactive.php uses an unsanitized ""c"" variable coming from the URL, which is reflected in HTML, leading to XSS.","uses an unsanitized ""c"" variable coming from the URL",,the file app\conferences_active\conference_interactive.php,FusionPBX up to v4.5.7,,,XSS
CVE-2015-5366,"The (1) udp_recvmsg and (2) udpv6_recvmsg functions in the Linux kernel before 4.0.6 provide inappropriate -EAGAIN return values, which allows remote attackers to cause a denial of service (EPOLLET epoll application read outage) via an incorrect checksum in a UDP packet, a different vulnerability than CVE-2015-5364.",provide inappropriate -EAGAIN return values,,The (1) udp_recvmsg and (2) udpv6_recvmsg functions,the Linux kernel before 4.0.6,remote attackers,an incorrect checksum in a UDP packet,a denial of service (EPOLLET epoll application read outage)
CVE-2016-6695,"sound/soc/msm/qdsp6v2/msm-ds2-dap-config.c in a Qualcomm QDSP6v2 driver in Android before 2016-10-05 allows attackers to cause a denial of service or possibly have unspecified other impact via a crafted visualizer data length, aka Qualcomm internal bug CR 1033540.",,,sound/soc/msm/qdsp6v2/msm-ds2-dap-config.c in a Qualcomm QDSP6v2 driver,Android before 2016-10-05,,a crafted visualizer data length,a denial of service or possibly have unspecified other impact
CVE-2016-6679,"CORE/HDD/src/wlan_hdd_hostapd.c in the Qualcomm Wi-Fi driver in Android before 2016-10-05 on Nexus 5X and Android One devices allows attackers to obtain sensitive information via a crafted application that makes a setwpaie ioctl call, aka Android internal bug 29915601 and Qualcomm internal bug CR 1000913.",,,CORE/HDD/src/wlan_hdd_hostapd.c in the Qualcomm Wi-Fi driver,Android before 2016-10-05 on Nexus 5X and Android One devices,,a crafted application that makes a setwpaie ioctl call,obtain sensitive information
CVE-2016-9084,"drivers/vfio/pci/vfio_pci_intrs.c in the Linux kernel through 4.8.11 misuses the kzalloc function, which allows local users to cause a denial of service (integer overflow) or have unspecified other impact by leveraging access to a vfio PCI device file.",misuses the kzalloc function,,drivers/vfio/pci/vfio_pci_intrs.c,the Linux kernel through 4.8.11,local users,leveraging access to a vfio PCI device file,a denial of service (integer overflow) or have unspecified other impact
CVE-2013-0846,"Array index error in the qdm2_decode_super_block function in libavcodec/qdm2.c in FFmpeg before 1.1 allows remote attackers to have an unspecified impact via crafted QDM2 data, which triggers an out-of-bounds array access.",Array index error,,the qdm2_decode_super_block function in libavcodec/qdm2.c,FFmpeg before 1.1,remote attackers,crafted QDM2 data,an out-of-bounds array access
CVE-2014-5165,"The dissect_ber_constrained_bitstring function in epan/dissectors/packet-ber.c in the ASN.1 BER dissector in Wireshark 1.10.x before 1.10.9 does not properly validate padding values, which allows remote attackers to cause a denial of service (buffer underflow and application crash) via a crafted packet.",does not properly validate padding values,,The dissect_ber_constrained_bitstring function in epan/dissectors/packet-ber.c in the ASN.1 BER dissector,Wireshark 1.10.x before 1.10.9,remote attackers,a crafted packet,a denial of service (buffer underflow and application crash)
CVE-2019-14459,nfdump 1.6.17 and earlier is affected by an integer overflow in the function Process_ipfix_template_withdraw in ipfix.c that can be abused in order to crash the process remotely (denial of service).,an integer overflow,,the function Process_ipfix_template_withdraw in ipfix.c,nfdump 1.6.17 and earlier,,,crash the process remotely (denial of service)
CVE-2017-14225,"The av_color_primaries_name function in libavutil/pixdesc.c in FFmpeg 3.3.3 may return a NULL pointer depending on a value contained in a file, but callers do not anticipate this, as demonstrated by the avcodec_string function in libavcodec/utils.c, leading to a NULL pointer dereference. (It is also conceivable that there is security relevance for a NULL pointer dereference in av_color_primaries_name calls within the ffprobe command-line program.)","return a NULL pointer depending on a value contained in a file, but callers do not anticipate this",,The av_color_primaries_name function in libavutil/pixdesc.c,FFmpeg 3.3.3,,,a NULL pointer dereference
CVE-2016-6187,"The apparmor_setprocattr function in security/apparmor/lsm.c in the Linux kernel before 4.6.5 does not validate the buffer size, which allows local users to gain privileges by triggering an AppArmor setprocattr hook.",does not validate the buffer size,,The apparmor_setprocattr function in security/apparmor/lsm.c,the Linux kernel before 4.6.5,local users,triggering an AppArmor setprocattr hook,gain privileges
CVE-2017-15198,"In Kanboard before 1.0.47, by altering form data, an authenticated user can edit a category of a private project of another user.",,,,Kanboard before 1.0.47,an authenticated user,altering form data,edit a category of a private project of another user
CVE-2018-10124,"The kill_something_info function in kernel/signal.c in the Linux kernel before 4.13, when an unspecified architecture and compiler is used, might allow local users to cause a denial of service via an INT_MIN argument.",,,The kill_something_info function in kernel/signal.c,the Linux kernel before 4.13,local users,an INT_MIN argument,a denial of service
CVE-2020-5292,"Leantime before versions 2.0.15 and 2.1-beta3 has a SQL Injection vulnerability. The impact is high. Malicious users/attackers can execute arbitrary SQL queries negatively affecting the confidentiality, integrity, and availability of the site. Attackers can exfiltrate data like the users' and administrators' password hashes, modify data, or drop tables. The unescaped parameter is ""searchUsers"" when sending a POST request to ""/tickets/showKanban"" with a valid session. In the code, the parameter is named ""users"" in class.tickets.php. This issue is fixed in versions 2.0.15 and 2.1.0 beta 3.",a SQL Injection vulnerability,,,Leantime before versions 2.0.15 and 2.1-beta3,Malicious users/attackers,,"exfiltrate data like the users' and administrators' password hashes, modify data, or drop tables"
CVE-2016-10269,"LibTIFF 4.0.0alpha4, 4.0.0alpha5, 4.0.0alpha6, 4.0.0beta7, 4.0.0, 4.0.1, 4.0.2, 4.0.3, 4.0.4, 4.0.4beta, 4.0.5, 4.0.6 and 4.0.7 allows remote attackers to cause a denial of service (heap-based buffer over-read) or possibly have unspecified other impact via a crafted TIFF image, related to ""READ of size 512"" and libtiff/tif_unix.c:340:2.",,,"LibTIFF 4.0.0alpha4, 4.0.0alpha5, 4.0.0alpha6, 4.0.0beta7, 4.0.0, 4.0.1, 4.0.2, 4.0.3, 4.0.4, 4.0.4beta, 4.0.5, 4.0.6 and 4.0.7",,remote attackers,a crafted TIFF image,a denial of service (heap-based buffer over-read) or possibly have unspecified other impact
CVE-2019-12922,A CSRF issue in phpMyAdmin 4.9.0.1 allows deletion of any server in the Setup page.,A CSRF issue,,the Setup page,phpMyAdmin 4.9.0.1,,,deletion of any server
CVE-2016-3120,"The validate_as_request function in kdc_util.c in the Key Distribution Center (KDC) in MIT Kerberos 5 (aka krb5) before 1.13.6 and 1.4.x before 1.14.3, when restrict_anonymous_to_tgt is enabled, uses an incorrect client data structure, which allows remote authenticated users to cause a denial of service (NULL pointer dereference and daemon crash) via an S4U2Self request.",uses an incorrect client data structure,,The validate_as_request function in kdc_util.c in the Key Distribution Center (KDC),MIT Kerberos 5 (aka krb5) before 1.13.6 and 1.4.x before 1.14.3,remote authenticated users,an S4U2Self request,a denial of service (NULL pointer dereference and daemon crash)
CVE-2018-15857,An invalid free in ExprAppendMultiKeysymList in xkbcomp/ast-build.c in xkbcommon before 0.8.1 could be used by local attackers to crash xkbcommon keymap parsers or possibly have unspecified other impact by supplying a crafted keymap file.,,,An invalid free in ExprAppendMultiKeysymList in xkbcomp/ast-build.c,xkbcommon before 0.8.1,local attackers,supplying a crafted keymap file,crash xkbcommon keymap parsers or possibly have unspecified other impact
CVE-2016-9581,An infinite loop vulnerability in tiftoimage that results in heap buffer overflow in convert_32s_C1P1 was found in openjpeg 2.1.2.,An infinite loop vulnerability,,tiftoimage,openjpeg 2.1.2,,,heap buffer overflow
